title,author,price,description,author_description,genres,n_ratings,n_reviews,ratings,pages_format,publication_info,literary_awards,original_title,series,characters,format,published,isbn,language,setting
The Weed That Strings the Hangman's Bag,Alan Bradley,4.99,"From Dagger Award-winning and internationally bestselling author Alan Bradley comes this utterly beguiling mystery starring one of fiction's most remarkable sleuths: Flavia de Luce, a dangerously brilliant eleven-year-old with a passion for chemistry and a genius for solving murders. This time, Flavia finds herself untangling two deaths—separated by time but linked by the unlikeliest of threads.Flavia thinks that her days of crime-solving in the bucolic English hamlet of Bishop’s Lacey are over—and then Rupert Porson has an unfortunate rendezvous with electricity. The beloved puppeteer has had his own strings sizzled, but who’d do such a thing, and why? For Flavia, the questions are intriguing enough to make her put aside her chemistry experiments and schemes of vengeance against her insufferable big sisters. Astride Gladys, her trusty bicycle, Flavia sets out from the de Luces' crumbling family mansion in search of Bishop's Lacey's deadliest secrets.Does the madwoman who lives in Gibbet Wood know more than she’s letting on? What of the vicar's odd ministrations to the catatonic woman in the dovecote? Then there's a German pilot obsessed with the Brontë sisters, a reporachful spinster aunt, and even a box of poisoned chocolates. Most troubling of all is Porson’s assistant, the charming but erratic Nialla. All clues point toward a suspicious death years earlier and a case the local constables can’t solve—without Flavia’s help. But in getting so close to who’s secretly pulling the strings of this dance of death, has our precocious heroine finally gotten in way over her head?","Librarian Note: There is more than one author in the Goodreads database with this name. With an education in electronic engineering, Alan worked at numerous radio and television stations in Ontario, and at Ryerson Polytechnical Institute (now Ryerson University) in Toronto, before becoming Director of Television Engineering in the media centre at the University of Saskatchewan in Saskatoon, where he remained for 25 years before taking early retirement to write in 1994.He became the first President of the Saskatoon Writers, and a founding member of the Saskatchewan Writers Guild. His children's stories were published in The Canadian Children's Annual, and his short story, Meet Miss Mullen, was the first recipient of the Saskatchewan Writers Guild Award for Children's Literature.For a number of years, he regularly taught Script Writing and Television Production courses at the University of Saskatchewan (Extension Division) at both beginner and advanced levels.His fiction has been published in literary journals and he has given many public readings in schools and galleries. His short stories have been broadcast by CBC Radio.He was a founding member of The Casebook of Saskatoon, a society devoted to the study of Sherlock Holmes and Sherlockian writings. Here, he met the late Dr. William A.S. Sarjeant, with whom he collaborated on their classic book, Ms Holmes of Baker Street. This work put forth the startling theory that the Great Detective was a woman, and was greeted upon publication with what has been described as ""a firestorm of controversy"".The release of Ms. Holmes resulted in national media coverage, with the authors embarking upon an extensive series of interviews, radio and television appearances, and a public debate at Toronto's Harbourfront. His lifestyle and humorous pieces have appeared in The Globe and Mail and The National Post.His book The Shoebox Bible (McClelland and Stewart, 2006) has been compared with Tuesdays With Morrie and Mr. God, This is Anna. In July of 2007 he won the Debut Dagger Award of the (British) Crimewriter's Association for his novel The Sweetness at the Bottom of the Pie, the first of a series featuring eleven year old Flavia de Luce, which has since won the 2009 Agatha Award for Best First Novel,the 2010 Dilys Award,the Spotted Owl Award, and the 2010 Arthur Ellis Award for Best First Novel.The Sweetness at the Bottom of the Pie has also been nominated for the Macavity, the Barry, and the Arthur Awards.Alan Bradley lives in Malta with his wife Shirley and two calculating cats. ","['Mystery', 'Fiction', 'Historical Fiction', 'Young Adult', 'Audiobook', 'Crime', 'Historical', '...more']",55670.0,5755.0,"[394.0, 1540.0, 12231.0, 25705.0, 15800.0]","364 pages, Hardcover","First published March 9, 2010",['Goodreads Choice Award Nominee for Mystery & Thriller (2010)'],The Weed That Strings the Hangman's Bag,['Flavia de Luce '],"['Flavia de Luce', 'Ophelia de Luce', 'Daphne de Luce', 'Dogger', 'Mrs. Mullet', 'Inspector Hewitt', 'Colonel de Luce']","364 pages, Hardcover","March 9, 2010 by Delacorte Press",9780385342315 (ISBN10: 0385342314),English,
A Good Man in Africa,William  Boyd,11.99,"In the small African republic of Kinjanja, British diplomat Morgan Leafy bumbles heavily through his job. His love of women, his fondness for drink, and his loathing for the country prove formidable obstacles on his road to any kind of success. But when he becomes an operative in Operation Kingpin and is charged with monitoring the front runner in Kinjanja’s national elections, Morgan senses an opportunity to achieve real professional recognition and, more importantly, reassignment.After he finds himself being blackmailed, diagnosed with a venereal disease, attempting bribery, and confounded with a dead body, Morgan realizes that very little is going according to plan.","Note: William^^BoydOf Scottish descent, Boyd was born in Accra, Ghana on 7th March, 1952 and spent much of his early life there and in Nigeria where his mother was a teacher and his father, a doctor. Boyd was in Nigeria during the Biafran War, the brutal secessionist conflict which ran from 1967 to 1970 and it had a profound effect on him.At the age of nine years he attended Gordonstoun school, in Moray, Scotland and then Nice University (Diploma of French Studies) and Glasgow University (MA Hons in English and Philosophy), where he edited the Glasgow University Guardian. He then moved to Jesus College, Oxford in 1975 and completed a PhD thesis on Shelley. For a brief period he worked at the New Statesman magazine as a TV critic, then he returned to Oxford as an English lecturer teaching the contemporary novel at St Hilda's College (1980-83). It was while he was here that his first novel,  A Good Man in Africa (1981), was published.Boyd spent eight years in academia, during which time his first film, Good and Bad at Games, was made. When he was offered a college lecturership, which would mean spending more time teaching, he was forced to choose between teaching and writing.Boyd was selected in 1983 as one of the 20 'Best of Young British Novelists' in a promotion run by Granta magazine and the Book Marketing Council. He also became a Fellow of the Royal Society of Literature in the same year, and is also an Officier de l'Ordre des Arts et des Lettres. He has been presented with honorary doctorates in literature from the universities of St. Andrews, Stirling and Glasgow. He was appointed Commander of the Order of the British Empire in 2005.Boyd has been with his wife Susan since they met as students at Glasgow University and all his books are dedicated to her. His wife is editor-at-large of Harper's Bazaar magazine, and they currently spend about thirty to forty days a year in the US. He and his wife have a house in Chelsea, West London but spend most of the year at their chateau in Bergerac in south west France, where Boyd produces award-winning wines.","['Fiction', 'Africa', 'Humor', 'Novels', 'Historical Fiction', 'Comedy', 'Literature', '...more']",5015.0,298.0,"[90.0, 257.0, 1221.0, 2182.0, 1265.0]","352 pages, Paperback","First published January 1, 1981","['Whitbread Award for First Novel (1981)', 'Somerset Maugham Award (1982)']",A Good Man in Africa,,['Morgan Leafy'],"352 pages, Paperback","January 14, 2003 by Vintage",9781400030026 (ISBN10: 1400030021),English,['Kinjanja']
It Had to Be You,Janice  Thompson,0.0,"Bella couldn't be happier that her long-feuding Aunt Rosa and Uncle Lazarro have finally admitted their love for one another and are getting married. Their forties-style wedding is sure to be a night to remember. But when the Rossi house begins to fill up with family from Italy--and an old mobster from New Jersey--life starts to get complicated. Will Lazarro's friend from the past drive the happy couple apart once more? And will Bella ever have time to think of her own rapidly-approaching wedding amidst the chaos?Full of laugh-out-loud humor, plenty of Italian passion, and a bit of Texas gumption, It Had to Be You is the satisfying conclusion to an entertaining series.","Welcome to the wacky, wonderful world of inspirational author Janice Hanna Thompson, where romantic comedy rules the day! I hope you love to laugh, because I make it my goal to tickle your funny bone at every turn in my light-hearted tales.Whether you’re looking for inspirational romance, quirky cozy mysteries, light-hearted historicals or fun books for younger readers, you will find it here. You will also find an abundance of non-fiction books, guaranteed to ease life’s burdens.Why do I focus on the light-hearted stuff? Because life is hard! My readers lead busy, chaotic lives and need those special “Calgon, Take Me Away!” moments! Providing “Love, Laughter and Happily Ever Afters” brings me great delight. Lest you think it’s all fluff, think again!Woven between the lines of each cheerful tale you will find the ultimate love story, one guaranteed to stir your soul and get your heart fluttering. Talk about a real happily ever after! There’s something for everyone on my site, so settle back in your chair, grab a cup of Earl Grey tea, and get ready to discover a light-hearted approach to life!","['Christian Fiction', 'Romance', 'Christian', 'Contemporary', 'Fiction', 'Christian Romance', 'Chick Lit', '...more']",2152.0,132.0,"[14.0, 86.0, 421.0, 735.0, 896.0]","336 pages, Paperback","First published January 1, 2010",,,"['Weddings by Bella', 'Galveston Weddings']",,"336 pages, Paperback","May 1, 2010 by Revell",9780800733445 (ISBN10: 0800733444),English,"['Galveston, Texas']"
Missing,Kelley Armstrong,6.99,"Everyone knows they left. No one knows they're...m i s s i n gReeve's End is the kind of town every kid can't wait to escape. Each summer, a dozen kids leave, and at least a quarter never come back. I don't blame them - I'll do the same in another year. We thought it was just something that happened in town like ours.We were wrong.","Kelley Armstrong has been telling stories since before she could write. Her earliest written efforts were disastrous. If asked for a story about girls and dolls, hers would invariably feature undead girls and evil dolls, much to her teachers' dismay. All efforts to make her produce ""normal"" stories failed.Today, she continues to spin tales of ghosts and demons and werewolves, while safely locked away in her basement writing dungeon. She's the author of the NYT-bestselling ""Women of the Otherworld"" paranormal suspense series and ""Darkest Powers"" young adult urban fantasy trilogy, as well as the Nadia Stafford crime series. Armstrong lives in southwestern Ontario with her husband, kids and far too many pets. ","['Young Adult', 'Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Romance', 'Contemporary', '...more']",3390.0,491.0,"[54.0, 185.0, 799.0, 1306.0, 1046.0]","515 pages, ebook","First published April 18, 2017",,Reeve's End (working title only),,"['Edie Greene', 'Winter Crane', 'Tanner Robson', 'Lennon Bishop', 'Jude Bishop', 'Peter Bishop']","515 pages, ebook","April 18, 2017 by Crown Books for Young Readers",9780399550348 (ISBN10: 0399550348),English,
Dawn of Rebellion,Michelle  Lynn,0.0,"My name is Dawn Nolan, and I've grown up on the streets of military-controlled London. The one person in my life I could always count on has been taken from me.Gabby is combative, pushy, a real pain - but she's the reason I've survived this long. She's my sister. And now she's gone.Criminals are sent to the colonies to work as slaves for the rest of their lives. There is no escape. I only know that it's a savage place; not a place from a teenage girl from the wrong side of London.I might die trying.I'll probably never see London again.But they've taken my sister and I'm going to get her back.","Michelle moved around the Midwest most of her life, transferring from school to school before settling down in the outskirts of Chicago ten years ago, where she now resides with her husband and two kids. She loves all thing romance and cries at happy endings! Visit her at www.michellelynnbooks.com","['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Death', '...more']",142.0,76.0,"[1.0, 6.0, 23.0, 41.0, 71.0]","321 pages, Paperback","First published January 1, 2013",,Dawn of Rebellion,['Dawn of Rebellion'],,"321 pages, Paperback","October 17, 2013 by CreateSpace Independent Publishing Platform",9781492942429 (ISBN10: 1492942421),English,
Smarter Than You Think: How Technology Is Changing Our Minds for the Better,Clive Thompson,12.99,"A revelatory and timely look at how technology boosts our cognitive abilities—making us smarter, more productive, and more creative than ever It’s undeniable—technology is changing the way we think. But is it for the better? Amid a chorus of doomsayers, Clive Thompson delivers a resounding “yes.” In Smarter Than You Think, Thompson shows that every technological innovation—from the written word to the printing press to the telegraph—has provoked the very same anxieties that plague us today. We panic that life will never be the same, that our attentions are eroding, that culture is being trivialized. But, as in the past, we adapt—learning to use the new and retaining what is good of the old. Smarter Than You Think embraces and extols this transformation, presenting an exciting vision of the present and the future.","Clive Thompson is a Canadian freelance journalist, blogger and science and technology writer.Thompson graduated from the University of Toronto with majors in political science and English. He previously worked for Canada's Report on Business magazine and Shift magazine, then became a freelance contributor for The New York Times Magazine, The Washington Post, Lingua Franca, Wired, Shift, Entertainment Weekly and several other publications.Thompson writes about digital technologies and their social and cultural impact for a number of publications, including the New York Times Magazine and Wired.In 2002, he was awarded a Knight Science Journalism Fellowship at MIT.","['Nonfiction', 'Technology', 'Psychology', 'Science', 'Business', 'Sociology', 'Education', '...more']",2468.0,346.0,"[29.0, 116.0, 532.0, 1076.0, 715.0]","343 pages, Paperback","First published January 1, 2013",,Smarter Than You Think: How Technology Is Changing Our Minds for the Better,,,"343 pages, Paperback","August 26, 2014 by Penguin Books",9780143125822 (ISBN10: 0143125826),English,
"Mind Maps: Quicker Notes, Better Memory, and Improved Learning 2.0",Michael Taylor,4.99,"The number one Mind Map book on the Kindle has gotten even better. Version 2.0 has more examples, better illustrations, and easier step-by-step instructions. Plus a bonus section that will triple your current reading speed and comprehension in a matter of minutes.Mind Mapping is a note taking system which allows you to take better, faster, and more efficient notes. In conventional note-taking, you write down information line by line. With Mind Maps, you organize the information more in the form of a diagram, starting with a central key idea drawn in the center of the paper.In addition to enhancing your note taking skills, Mind Maps help you improve your studying, writing, presenting, brainstorming, and creative skills. It is one of the best note taking skills anyone can learn.","Michael Taylor majored in English at Bloomsburg University, Pennsylvania, and also earned his Master’s degree in Education from the same university.","['Nonfiction', 'Self Help', 'Psychology', 'Productivity', 'Education', 'Personal Development', 'Reference', '...more']",527.0,59.0,"[20.0, 56.0, 157.0, 161.0, 133.0]","90 pages, Kindle Edition","First published February 28, 2009",,"Mind Maps: Quicker Notes, Better Memory, and Improved Learning",,,"90 pages, Kindle Edition","February 28, 2009 by SelfMadeEasy.com",,English,
"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,14.99,"In this book, the author maps out a simple path for cultivating mindfulness in one's own life. It speaks both to those coming to meditation for the first time and to longtime practitioners, anyone who cares deeply about reclaiming the richness of his or her moments.","Jon Kabat-Zinn, Ph.D., is founding Executive Director of the Center for Mindfulness in Medicine, Health Care, and Society at the University of Massachusetts Medical School. He is also the founding director of its renowned Stress Reduction Clinic and Professor of Medicine emeritus at the University of Massachusetts Medical School. He teaches mindfulness and Mindfulness-Based Stress Reduction (MBSR) in various venues around the world. He received his Ph.D. in molecular biology from MIT in 1971 in the laboratory of Nobel Laureate, Salvador Luria.He is the author of numerous scientific papers on the clinical applications of mindfulness in medicine and health care, and of a number of books for the lay public: Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain and Illness (Delta, 1991); Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life (Hyperion, 1994); Coming to Our Senses: Healing Ourselves and the World Through Mindfulness (Hyperion, 2005); and Arriving at Your Own Door: 108 Lessons in Mindfulness (Hyperion, 2007). He is also co-author, with his wife Myla, of Everyday Blessings: The Inner Work of Mindful Parenting (Hyperion, 1997); and with Williams, Teasdale, and Segal, of The Mindful Way Through Depression: Freeing Yourself from Chronic Unhappiness (Guilford, 2007). Overall, his books have been translated into over 30 languages.His major research interests have focused on mind/body interactions for healing, clinical applications of mindfulness meditation training, the effects of MBSR on the brain, on the immune system, and on healthy emotional expression while under stress; on healing (skin clearing rates) in people with psoriasis; on patients undergoing bone marrow transplantation; with prison inmates and staff; in multicultural settings; and on stress in various corporate settings and work environments. His work in the Stress Reduction Clinic was featured in Bill Moyers’ PBS Special, “Healing and the Mind” and in the book of the same title, as well as on Good Morning America, the Oprah Winfrey Show, and NPR. It has contributed to a growing movement of mindfulness into mainstream institutions such as medicine, and psychology, health care and hospitals, schools, corporations, the legal profession, prisons, and professional sports.He has trained groups of CEOs, judges, members of the clergy, and Olympic athletes (the 1984 Olympic Men’s Rowing Team) and congressional staff in mindfulness. The Stress Reduction Clinic has served as the model for mindfulness-based clinical intervention programs at over 200 medical centers and clinics nation-wide and abroad. Dr. Kabat-Zinn has received numerous awards over the span of his career. He is a founding fellow of the Fetzer Institute, and a fellow of the Society of Behavioral Medicine. He received the Interface Foundation Career Achievement Award, and the New York Open Center’s Tenth Year Anniversary Achievement in Medicine and Health Award (1994); the Art, Science, and Soul of Healing Award from the Institute for Health and Healing, California Pacific Medical Center in San Francisco (1998); the 2nd Annual Trailblazer Award for “pioneering work in the field of integrative medicine” from the Scripps Center for Integrative Medicine in La Jolla, California (2001); the Distinguished Friend Award from the Association for Behavioral and Cognitive Therapies (2005), and an Inaugural Pioneer in Integrative Medicine Award from the Bravewell Philanthropic Collaborative for Integrative Medicine (2007).He is the founding convener of the Consortium of Academic Health Centers for Integrative Medicine, and serves on the Board of the Mind and Life Institute, a group that organizes dialogues between the Dalai Lama and Western scientists to promote deeper understanding of different ways of knowing and probing the nature of mind, emotions, and reality. He was co-program chair of the 2005 Mind and Life Dialogue: The Clinical Appl","['Nonfiction', 'Self Help', 'Spirituality', 'Psychology', 'Philosophy', 'Buddhism', 'Personal Development', '...more']",48112.0,2216.0,"[813.0, 1868.0, 8097.0, 17143.0, 20191.0]","304 pages, Paperback","First published January 1, 1994",,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",,,"304 pages, Paperback","January 5, 2005 by Hachette Books",9781401307783 (ISBN10: 1401307787),English,
Holy Envy: Finding God in the Faith of Others,Barbara Brown Taylor,0.0,"The renowned and beloved New York Times bestselling author of An Altar in the World and Learning to Walk in the Dark recounts her moving discoveries of finding the sacred in unexpected places while teaching the world’s religions to undergraduates in rural Georgia, revealing how God delights in confounding our expectations.Barbara Brown Taylor continues her spiritual journey begun in Leaving Church of finding out what the world looks like after taking off her clergy collar. In Holy Envy, she contemplates the myriad ways other people and traditions encounter the Transcendent, both by digging deeper into those traditions herself and by seeing them through her students’ eyes as she sets off with them on field trips to monasteries, temples, and mosques. Troubled and inspired by what she learns, Taylor returns to her own tradition for guidance, finding new meaning in old teachings that have too often been used to exclude religious strangers instead of embracing the divine challenges they present. Re-imagining some central stories from the religion she knows best, she takes heart in how often God chooses outsiders to teach insiders how out-of-bounds God really is.Throughout Holy Envy, Taylor weaves together stories from the classroom with reflections on how her own spiritual journey has been complicated and renewed by connecting with people of other traditions—even those whose truths are quite different from hers.  The one constant in her odyssey is the sense that God is the one calling her to disown her version of God—a change that ultimately enriches her faith in other human beings and in God. ","Barbara Brown Taylor is a New York Times best-selling author, teacher, and Episcopal priest. Her first memoir, Leaving Church (2006), won an Author of the Year award from the Georgia Writers Association. Her last book, Learning to Walk in the Dark (2014), was featured on the cover of TIME magazine. She has served on the faculties of Piedmont College, Columbia Theological Seminary, Candler School of Theology at Emory University, McAfee School of Theology at Mercer University, and the Certificate in Theological Studies program at Arrendale State Prison for Women in Alto, Georgia. In 2014 TIME included her on its annual list of Most Influential People; in 2015 she was named Georgia Woman of the Year; in 2016 she received The President’s Medal at the Chautauqua Institution in New York. She currently serves on the Board of Trustees for Mercer University and is working on her fourteenth book, Holy Envy, forthcoming from HarperOne in August 2018.","['Religion', 'Nonfiction', 'Spirituality', 'Faith', 'Christian', 'Memoir', 'Theology', '...more']",4677.0,698.0,"[25.0, 62.0, 438.0, 1647.0, 2505.0]","256 pages, ebook","First published March 1, 2019",,Holy Envy,,,"256 pages, ebook","March 12, 2019 by HarperOne",9780062406583 (ISBN10: 0062406582),,
"Monster of the Midway: Bronko Nagurski, the 1943 Chicago Bears, and the Greatest Comeback Ever",Jim Dent,11.99,"Jim Dent's Monster of the Midway is the story of football's fiercest competitor, the legendary Bronko Nagurski. From his discovery in the middle of a Minnesota field to his 1943 comeback season at Wrigley, from the University of Minnesota to the Hall of Fame, Bronko Nagurksi's life is a story of grit, hard work, passion, and, above all, an unstoppable drive to win.Monster of the Midway recounts Nagurski's unparalleled triumphs during the 1930s and '40s, when the Chicago Bears were the kings of professional football. From 1930, the Bronk's first year, through 1943, his last, the Bears won five NFL titles and played in four other NFL Championship Games. Focusing on Nagurski's 1943 comeback season, and how he miraculously led the Bears to their fourth NFL championship against the backdrop of World War II era Chicago, Jim Dent uncovers the riveting drama of Nagurski's playing days. His efforts were the stuff of legend, and his success in 1943 accomplished in spite of a battered frame, worn-out knees, multiple cracked ribs, and a broken bone in his lower back.While chronicling the drama of the '43 championship chase, Dent also tells of both the Bears' colorful early years and Bronko's improbable rise to fame from the backwoods of northern Minnesota. Woven into the narrative are the sights and smells and sounds of one of the most romantic, flavorful eras of the twentieth century. And laced through it all are stories of Bronko rubbing shoulders with colorful characters like George Halas, Red Grange, Sid Luckman, and Sammy Baugh; Bronko running into (and breaking) the brick wall at Wrigley Field; Bronko winning All-American spots for two positions; Bronko knocking scores of opponents unconscious; and Bronko reaching the heights of football glory and, with rare grace, turning his back on the game after winning his last championship.Rich in unforgettable stories and scenes, this is Jim Dent's account of Bronko Nagurski-arguably the greatest football player who ever lived-and his teammates, the roughest, toughest, rowdiest group of players ever to don leather helmets, and the original Monsters of the Midway.",,"['Sports', 'Football', 'Biography', 'Nonfiction', 'History']",138.0,8.0,"[1.0, 5.0, 28.0, 50.0, 54.0]","336 pages, Paperback","First published January 1, 2003",,"Monster of the Midway: Bronko Nagurski, the 1943 Chicago Bears, and the Greatest Comeback Ever",,,"336 pages, Paperback","September 8, 2004 by St. Martin's Griffin",9780312308681 (ISBN10: 031230868X),English,
